iter	Passed	Remaining
295	13704	8379
296	13748	8332
297	13794	8286
298	13840	8239
299	13884	8191
300	13930	8145
301	13976	8098
302	14021	8051
303	14065	8004
304	14111	7957
305	14160	7912
306	14209	7868
307	14260	7824
308	14311	7780
309	14359	7735
310	14407	7690
311	14450	7642
312	14496	7595
313	14541	7548
314	14584	7500
315	14628	7453
316	14673	7406
317	14719	7359
318	14762	7312
319	14809	7265
320	14854	7219
321	14900	7172
322	14943	7124
323	14987	7077
324	15034	7031
325	15079	6984
326	15124	6937
327	15176	6894
328	15227	6849
329	15278	6806
330	15326	6760
331	15372	6713
332	15416	6666
333	15463	6620
334	15508	6573
335	15553	6526
336	15598	6479
337	15641	6432
338	15684	6384
339	15729	6338
340	15774	6291
341	15819	6244
342	15864	6197
343	15909	6151
344	15955	6104
345	15998	6057
346	16042	6010
347	16087	5963
348	16133	5917
349	16187	5873
350	16237	5828
351	16289	5784
352	16339	5739
353	16386	5693
354	16433	5647
355	16477	5600
356	16524	5554
357	16568	5507
358	16614	5460
359	16657	5413
360	16702	5367
361	16749	5320
362	16795	5274
363	16841	5228
364	16885	5181
365	16928	5134
366	16974	5087
367	17019	5041
368	17063	4994
369	17109	4947
370	17159	4902
371	17218	4860
372	17269	4815
373	17316	4768
374	17360	4722
375	17405	4675
376	17450	4628
377	17495	4582
378	17540	4535
379	17584	4488
380	17627	4441
381	17669	4394
382	17715	4347
383	17760	4301
384	17806	4255
385	17851	4208
386	17896	4161
387	17942	4115
388	17986	4068
389	18031	4022
390	18075	3975
391	18118	3928
392	18168	3883
393	18216	3837
394	18266	3792
395	18322	3747
396	18368	3701
397	18416	3655
398	18460	3608
399	18506	3562
400	18550	3515
401	18594	3469
402	18640	3422
403	18686	3376
404	18731	3330
405	18776	3283
406	18822	3237
407	18869	3191
408	18912	3144
409	18958	3098
410	19002	3051
411	19045	3004
412	19090	2958
413	19137	2912
414	19193	2867
415	19246	2822
416	19295	2776
417	19340	2729
418	19384	2683
419	19427	2636
420	19473	2590
421	19517	2543
422	19564	2497
423	19608	2451
424	19654	2404
425	19698	2358
426	19744	2311
427	19789	2265
428	19834	2219
429	19878	2172
430	19923	2126
431	19967	2079
432	20011	2033
433	20056	1987
434	20100	1940
435	20151	1894
436	20202	1849
437	20252	1803
438	20304	1757
439	20350	1711
440	20396	1665
441	20440	1618
442	20484	1572
443	20528	1525
444	20573	1479
445	20618	1433
446	20664	1386
447	20709	1340
448	20754	1294
449	20797	1247
450	20842	1201
451	20887	1155
452	20933	1109
453	20978	1062
454	21025	1016
455	21071	970
456	21119	924
457	21171	878
458	21220	832
459	21273	786
460	21323	740
461	21370	693
462	21415	647
463	21461	601
464	21504	554
465	21549	508
466	21594	462
467	21638	416
468	21683	369
469	21729	323
470	21773	277
471	21818	231
472	21861	184
473	21906	138
474	21952	92
475	21996	46
476	22043	0
